new_rank,original_rank,id,name,korean_name,yearpublished,recommended_players,weight,average,rating,rating_difference,bayes_new_rating,rating_change,thumbnail
1,2,161936,Pandemic Legacy: Season 1,팬데믹 레거시: 시즌 1,2015,2|3|4,2.8282,8.50893,8.35472,1.16,8.26029,-0.25,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__small/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png
2,46,521,Crokinole,크로키놀,1876,2|4,1.223,8.05926,7.79289,1.26,8.19674,0.13,https://cf.geekdo-images.com/DOwZ7_Q1w68iBhARcDAxig__small/img/nkY1mEj6fItSXJHctfzFcRIcDT0=/fit-in/200x150/filters:strip_icc()/pic8549797.jpg
3,30,421006,The Lord of the Rings: Duel for Middle-earth,반지의 제왕: 가운데땅에서의 대결,2024,2,2.0635,8.35876,7.90681,1.27,8.11923,-0.24,https://cf.geekdo-images.com/EybxJlUc9rz7F7HVFLqsdw__small/img/rojFW0-h-bteedVG4aJXG1x7V0o=/fit-in/200x150/filters:strip_icc()/pic8378939.jpg
4,21,173346,7 Wonders Duel,7 원더스 대결,2015,2,2.2268,8.08221,7.95783,0.94,8.08951,0.0,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__small/img/gV1-ckZSIC-dCxxpq1Y7GmPITzQ=/fit-in/200x150/filters:strip_icc()/pic2576399.jpg
5,5,316554,Dune: Imperium,듄: 임페리움,2020,1|2|3|4,3.07,8.41446,8.22315,0.98,8.08661,-0.33,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__small/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg
6,34,373106,Sky Team,스카이 팀,2023,2,2.0408,8.14121,7.87456,1.06,8.06346,-0.08,https://cf.geekdo-images.com/uXMeQzNenHb3zK7Hoa6b2w__small/img/WyPClajMWU9lV5BdCXiZnqdZgmU=/fit-in/200x150/filters:strip_icc()/pic7398904.jpg
7,8,167791,Terraforming Mars,테라포밍 마스,2016,1|2|3|4,3.2659,8.34311,8.19349,0.84,7.99569,-0.35,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__small/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg
8,55,295947,Cascadia,캐스캐디아,2021,1|2|3|4,1.8478,7.90484,7.74515,0.89,7.99421,0.08,https://cf.geekdo-images.com/MjeJZfulbsM1DSV3DrGJYA__small/img/tVSFjSxYEcw7sKj3unIIQV8kxoc=/fit-in/200x150/filters:strip_icc()/pic5100691.jpg
9,9,397598,Dune: Imperium – Uprising,듄 임페리움: 봉기,2023,1|2|3|4|6,3.5032,8.7034,8.18423,1.12,7.98619,-0.72,https://cf.geekdo-images.com/UVUkjMV_Q2paVUIUP30Vvw__small/img/H6qmxJrRFjtOAPZOfDoZ480-46I=/fit-in/200x150/filters:strip_icc()/pic7664424.jpg
10,44,324856,The Crew: Mission Deep Sea,딥 씨 크루: 심해에서의 임무,2021,3|4|5,2.0451,8.06586,7.81217,0.99,7.97433,-0.1,https://cf.geekdo-images.com/VuBqZ1sMaDAVVHF_OEJP4g__small/img/EdacXlcFZ06YK0-ZKa0oKwL4VCw=/fit-in/200x150/filters:strip_icc()/pic5988903.jpg
11,1,224517,Brass: Birmingham,브라스: 버밍엄,2018,2|3|4,3.868,8.57194,8.39915,0.86,7.97241,-0.6,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__small/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg
12,3,342942,Ark Nova,아크 노바,2021,1|2|3,3.7885,8.54073,8.35262,0.86,7.97103,-0.57,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__small/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg
